,id,coordinate,Start_Date,End_Date
143,285456,"[-0.719489, 34.947302]",-30.0,300.0
144,285458,"[0.214719, 34.988179]",-30.0,300.0
145,285461,"[1.916545, 35.383282]",-30.0,300.0
146,285462,"[1.36428, 35.53838]",-30.0,640.0
147,285463,"[1.423835, 35.44824]",-30.0,640.0
148,285465,"[1.806046, 35.494891]",-30.0,300.0
149,285466,"[0.038515, 35.012108]",-30.0,300.0
150,285467,"[-1.441871, 34.672821]",-30.0,640.0
151,285468,"[-1.470323, 34.675884]",-30.0,640.0
152,285469,"[-0.913275, 35.580625]",-30.0,300.0
153,285473,"[-1.177969, 35.015228]",-30.0,300.0
154,285476,"[-2.102887, 35.073106]",-30.0,300.0
155,285485,"[2.133347, 35.733325]",-30.0,300.0
156,285486,"[1.470047, 35.65138]",-30.0,300.0
157,285487,"[-1.061261, 35.636708]",-550.0,-30.0
158,285488,"[0.559522, 35.737087]",-30.0,640.0
159,285490,"[-0.734433, 35.62345]",-30.0,640.0
160,285497,"[1.040647, 35.064095]",-30.0,300.0
161,285498,"[0.525803, 35.378611]",-30.0,300.0
162,285501,"[-1.315291, 34.879198]",-30.0,640.0
163,285502,"[-0.637317, 35.705063]",-30.0,300.0
164,285509,"[-0.61879, 35.456691]",-30.0,640.0
165,285510,"[1.020486, 35.530495]",-30.0,300.0
166,285517,"[1.568818, 35.659957]",-30.0,300.0
167,285519,"[-1.636765, 34.771231]",300.0,640.0
168,285520,"[-1.4325, 35.060679]",-30.0,300.0
169,285521,"[-1.454551, 35.23991]",-550.0,640.0
170,285525,"[0.986222, 35.383912]",-30.0,640.0
171,285533,"[-0.528525, 35.020958]",-30.0,300.0
172,285535,"[-1.140982, 35.065103]",-30.0,640.0
173,285536,"[1.327235, 35.369234]",-30.0,640.0
174,29457,"[62.191888, 34.33733]",-330.0,300.0
175,29501,"[[58.3659104, 29.1188214], [58.3663382, 29.1126948], [58.3708439, 29.1126024], [58.3712486, 29.1134108], [58.3712652, 29.1154844], [58.3733546, 29.1155276], [58.3729467, 29.117059], [58.3659104, 29.1188214]]",-540.0,1186.0
176,29503,"[62.331697, 25.227074]",-550.0,-30.0
177,295207,"[1.685606, 36.267887]",-30.0,300.0
178,295209,"[4.324969, 36.783887]",-30.0,300.0
179,295211,"[1.126896, 35.781097]",-30.0,300.0
180,295212,"[0.485762, 36.202092]",-30.0,300.0
181,295216,"[2.39736, 36.378706]",-30.0,640.0
182,295219,"[0.873111, 36.334326]",-330.0,640.0
183,295221,"[3.692601, 36.143276]",-30.0,300.0
184,295223,"[3.433601, 36.399637]",-30.0,300.0
185,295226,"[1.366579, 36.349216]",-30.0,300.0
186,295227,"[3.888116, 36.522743]",-30.0,300.0
187,295228,"[4.282988, 36.682306]",-30.0,640.0
188,295229,"[3.617225, 36.724859]",-30.0,640.0
189,295230,"[4.200045, 36.682591]",-30.0,300.0
190,295232,"[2.148702, 36.541068]",-30.0,640.0
191,295234,"[0.307186, 36.095657]",-30.0,300.0
192,295236,"[2.954333, 36.811558]",-30.0,300.0
193,295237,"[0.231134, 36.119266]",-30.0,640.0
194,295238,"[0.661917, 36.328046]",-30.0,300.0
195,295239,"[2.836188, 36.13972]",-30.0,640.0
196,295240,"[1.3131, 36.510308]",-330.0,640.0
197,295242,"[1.700044, 36.549862]",-330.0,300.0
198,295243,"[2.68789, 36.641597]",-30.0,640.0
199,295245,"[1.332622, 36.166446]",-30.0,640.0
200,295246,"[3.792489, 36.76875]",-30.0,300.0
201,295249,"[4.175569, 36.684174]",-30.0,640.0
202,29525,"[63.544933, 39.06704]",-330.0,640.0
203,295253,"[3.740818, 36.876494]",-30.0,640.0
204,295255,"[3.688616, 36.835369]",-30.0,300.0
205,295256,"[3.355386, 36.780467]",-30.0,300.0
206,295257,"[0.894896, 36.125289]",-30.0,300.0
207,295258,"[3.730723, 36.775651]",-30.0,300.0
208,295259,"[3.692352, 36.715143]",-30.0,300.0
209,295263,"[2.746637, 36.665098]",-30.0,300.0
210,295267,"[1.905412, 36.566844]",-550.0,300.0
211,295268,"[1.90305, 36.570982]",-550.0,640.0
212,295271,"[2.2851, 36.551689]",-30.0,640.0
213,295273,"[1.568591, 36.53072]",-30.0,300.0
214,295275,"[2.146724, 36.49292]",-30.0,640.0
215,295276,"[3.056709, 36.7718]",-550.0,640.0
216,295281,"[4.188315, 36.541001]",-30.0,300.0
217,295283,"[1.330837, 36.421363]",-30.0,300.0
218,295287,"[1.237538, 36.420798]",-30.0,300.0
219,295288,"[1.549982, 36.113969]",-30.0,300.0
220,295289,"[1.568594, 36.530697]",-30.0,300.0
221,295290,"[3.408627, 36.116983]",-30.0,640.0
222,295291,"[1.268594, 36.035522]",-30.0,300.0
223,295292,"[0.687871, 36.324171]",-330.0,640.0
224,295294,"[3.637654, 36.301829]",-30.0,300.0
225,295295,"[1.494735, 36.381709]",-30.0,300.0
226,295297,"[3.758864, 36.716492]",-30.0,640.0
227,295299,"[2.775955, 36.266978]",-30.0,640.0
228,295304,"[2.220412, 36.26087]",-30.0,640.0
229,295307,"[0.751187, 36.116692]",-30.0,640.0
230,295316,"[0.571395, 36.258924]",-30.0,300.0
231,295318,"[2.843829, 36.763227]",-30.0,640.0
232,295319,"[1.966591, 36.266466]",-30.0,640.0
233,295321,"[1.199451, 36.101681]",-30.0,300.0
